,words,en,id,ko
85,baikmu,0,1,0
86,bajingan,0,1,0
87,bajumu,0,1,0
88,bajunya,0,1,0
89,bak,0,1,0
90,balon,0,1,0
91,bang,1,0,0
92,bangun,0,2,0
93,banyak,0,6,0
94,bari,0,6,0
95,barisane,0,6,0
96,baron,0,1,0
97,baru,0,5,0
98,basement,1,0,0
99,bawa,0,2,0
100,bayangan,0,1,0
101,bayanganku,0,3,0
102,bayangmu,0,3,0
103,beat,1,0,0
104,beating,1,0,0
105,beautiful,2,0,0
106,become,1,0,0
107,becoming,1,0,0
108,begitu,0,21,0
109,behavior,1,0,0
110,behind,1,0,0
111,bekonang,0,3,0
112,belaian,0,1,0
113,belajar,0,2,0
114,belakang,0,6,0
115,belanga,0,1,0
116,believe,1,0,0
117,bell,3,0,0
118,belok,0,1,0
119,belong,2,0,0
120,belum,0,9,0
121,bengawan,0,1,0
122,bening,0,1,0
123,bentakan,0,3,0
124,berada,0,2,0
125,berakhir,0,6,0
126,beranak,0,1,0
127,beranjak,0,1,0
128,berapa,0,1,0
129,berat,0,2,0
130,berbeda,0,1,0
131,bercinta,0,2,0
132,berdamai,0,1,0
133,berdandan,0,1,0
134,berdansa,0,2,0
135,berdetak,0,1,0
136,berdiri,0,1,0
137,berdua,0,7,0
138,berduri,0,1,0
139,berenang,0,1,0
140,berganti,0,1,0
141,bergelak,0,1,0
142,berharap,0,5,0
143,berharga,0,2,0
144,berhenti,0,2,0
145,berhentilah,0,1,0
146,beri,0,13,0
147,berjalan,0,1,0
148,berjanjilah,0,1,0
149,berjuang,0,2,0
150,berkata,0,1,0
151,berkuasa,0,1,0
152,berlalu,0,1,0
153,berlari,0,4,0
154,berlomba,0,1,0
155,berminum,0,1,0
156,berpamitan,0,3,0
157,berpisah,0,6,0
158,bersama,0,14,0
159,bersamamu,0,15,0
160,bersamanya,0,2,0
161,bersandar,0,1,0
162,bersisa,0,3,0
163,bersusah,0,1,0
164,bertahan,0,6,0
165,bertanya,0,1,0
166,bertaruh,0,1,0
167,bertaut,0,5,0
168,bertemu,0,7,0
169,berubah,0,4,0
170,beruntung,0,1,0
171,besar,0,4,0
172,beside,1,0,0
173,best,9,0,0
174,betapa,0,3,0
175,betina,0,1,0
176,better,2,0,0
177,biar,0,1,0
178,biarkan,0,2,0
179,biarkanku,0,1,0
180,biarlah,0,2,0
181,bias,0,1,0
182,biasa,0,3,0
183,bibir,0,2,0
184,bicarakan,0,1,0
185,bidan,0,1,0
186,bila,0,23,0
187,bilang,0,3,0
188,bilas,0,3,0
189,bill,1,0,0
190,binar,0,2,0
191,bintang,0,6,0
192,birahinya,0,1,0
193,biru,0,2,0
194,bisa,0,18,0
195,bisikkan,0,2,0
196,blaming,1,0,0
197,bleed,2,0,0
198,blew,1,0,0
199,blink,1,0,0
200,bloor,1,0,0
201,bodohnya,0,1,0
202,body,2,0,0
203,bohong,0,3,0
204,bohongi,0,4,0
205,bolehkah,0,3,0
206,bone,2,0,0
207,botol,0,1,0
208,boy,4,0,0
209,break,1,0,0
210,breaking,2,0,0
211,breathing,2,0,0
212,bright,1,0,0
213,bring,1,0,0
214,broad,1,0,0
215,brought,3,0,0
216,buah,0,1,0
217,buatku,0,5,0
218,bukan,0,15,0
219,bukankah,0,1,0
220,bun,0,3,0
221,busy,1,0,0
222,butuhkanku,0,1,0
223,bye,1,0,3
224,cahaya,0,2,0
225,cakwe,0,1,0
226,call,5,0,0
227,called,2,0,0
228,calling,3,0,0
229,came,1,0,0
230,canda,0,3,0
231,cangkol,0,5,0
232,cant,25,0,0
233,car,5,0,0
234,cara,0,9,0
235,caraku,0,7,0
236,caramu,0,1,0
237,care,5,0,0
238,career,1,0,0
239,castle,1,0,0
240,catch,1,0,0
241,cause,35,0,0
242,cavalry,3,0,0
243,cemburu,0,2,0
244,cerita,0,5,0
245,chance,4,0,0
246,change,20,0,0
247,chasin,2,0,0
248,chasing,1,0,0
249,chest,1,0,0
250,choice,1,0,0
251,choir,3,0,0
252,choose,1,0,0
253,cigarette,1,0,0
254,cinta,0,55,0
255,cintaiku,0,2,0
256,cintaimu,0,1,0
257,cintaku,0,4,0
258,cintamu,0,3,0
259,cintanya,0,7,0
260,city,1,0,0
261,ciu,0,5,0
262,cleaner,2,0,0
263,close,9,0,0
264,closed,1,0,0
265,clothes,1,0,0
266,club,1,0,0
267,coast,1,0,0
268,coba,0,7,0
269,coffee,2,0,0
270,cokelat,0,1,0
271,cold,2,0,0
272,come,4,0,0
273,comin,3,0,0
274,communicate,1,0,0
275,company,5,0,0
276,conceal,6,0,0
277,concentrated,1,0,0
278,confess,1,0,0
279,cool,1,0,0
280,cop,1,0,0
281,cortina,2,0,0
282,could,6,0,0
283,count,2,0,0
284,counting,1,0,0
285,couple,1,0,0
286,crazy,4,0,0
287,crime,1,0,0
288,crowd,3,0,0
289,cry,4,0,0
290,cukup,0,4,0
291,cupid,9,0,0
292,dada,0,4,0
293,dadanya,0,1,0
294,dadi,0,1,0
295,damn,1,0,0
296,dancing,2,0,0
297,dapat,0,6,0
298,dapatkan,0,1,0
299,darahhku,0,1,0
300,darahku,0,4,0
301,darimu,0,1,0
302,daripada,0,2,0
303,darling,1,0,0
304,dasima,0,2,0
305,datang,0,5,0
306,day,6,0,0
307,dead,1,0,0
308,debar,0,1,0
309,deep,2,0,0
310,dekap,0,3,0
311,demi,0,6,0
312,demon,1,0,0
313,dengan,0,17,0
314,denganku,0,1,0
315,denganmu,0,8,0
316,dengarkan,0,1,0
317,depan,0,1,0
318,desa,0,1,0
319,describe,3,0,0
320,deserve,1,0,0
321,detak,0,5,0
322,devotion,1,0,0
323,dewasa,0,3,0
324,dewi,0,1,0
325,dhemit,0,1,0
326,dhewe,0,6,0
327,dhoyong,0,1,0
328,diajak,0,2,0
329,diajaknya,0,1,0
330,diberi,0,1,0
331,dibuka,0,1,0
332,dice,1,0,0
333,die,19,0,0
334,different,1,0,0
335,dikejarkejar,0,1,0
336,dikencingi,0,1,0
337,dikesampingkan,0,1,0
338,dikubur,0,1,0
339,dilewati,0,1,0
340,dilupakan,0,1,0
341,dimataku,0,1,0
342,dipasangnya,0,1,0
343,diramu,0,1,0
344,diri,0,5,0
345,diriku,0,19,0
346,dirimu,0,26,0
347,dirinya,0,1,0
348,dirty,1,0,0
349,disamakan,0,1,0
350,disappear,2,0,0
351,disappearing,3,0,0
352,disayang,0,1,0
353,discovered,1,0,0
354,disebrangi,0,2,0
355,disetiap,0,1,0
356,distance,4,0,0
357,dituang,0,1,0
358,do,1,0,0
359,done,3,0,0
360,donts,1,0,0
361,door,4,0,0
362,doubt,1,0,0
363,dream,1,0,0
364,dreamed,3,0,0
365,dress,3,0,0
366,drew,2,0,0
367,drink,2,0,0
368,drinking,1,0,0
369,drive,3,0,0
370,driving,2,0,0
371,drowning,1,0,0
372,drug,4,0,0
373,drum,1,0,0
374,drunk,1,0,0
375,dry,2,0,0
376,duka,0,3,0
377,dulu,0,13,0
378,dumb,5,0,0
379,dunia,0,16,0
380,dust,2,0,0
381,déjà,1,0,0
382,eat,1,0,0
383,ego,0,1,0
384,egoku,0,1,0
385,eheh,0,0,2
386,elek,0,1,0
387,else,3,0,0
388,em,1,0,0
389,emang,0,1,0
390,empat,0,1,0
391,empty,1,0,0
392,enak,0,1,0
393,end,2,0,0
394,ending,1,0,0
395,enemy,1,0,0
396,enjoyin,2,0,0
397,enough,2,0,0
398,entah,0,3,0
399,escapin,2,0,0
400,esok,0,6,0
401,especially,1,0,0
402,evaluasi,0,3,0
403,even,10,0,0
404,ever,9,0,0
405,every,10,0,0
406,everybody,4,0,0
407,everyone,1,0,0
408,everything,16,0,0
409,evidence,2,0,0
410,ex,8,0,0
411,explain,3,0,0
412,eye,11,0,0
413,face,4,0,0
414,facedown,1,0,0
415,fake,1,0,0
416,falling,1,0,0
417,fan,1,0,0
418,far,1,0,0
419,farmer,1,0,0
420,fast,5,0,0
421,fault,6,0,0
422,fear,3,0,0
423,feel,37,0,0
424,feelin,3,0,0
425,feeling,15,0,0
426,fell,3,0,0
427,field,3,0,0
428,fight,4,0,0
429,fightin,1,0,0
430,figure,2,0,0
431,find,6,0,0
432,findin,1,0,0
433,finding,1,0,0
434,fine,2,0,0
435,first,3,0,0
436,flew,1,0,0
437,flight,1,0,0
438,float,1,0,0
439,flower,1,0,0
440,fly,4,0,0
441,fool,6,0,0
442,ford,2,0,0
443,foreign,3,0,0
444,forever,2,0,0
445,forget,2,0,0
446,forth,1,0,0
447,foto,0,3,0
448,found,1,0,0
449,four,1,0,0
450,fraud,1,0,0
451,frekuensi,0,1,0
452,friend,3,0,0
453,fuck,7,0,0
454,fucked,1,0,0
455,fuckin,1,0,0
456,fussin,1,0,0
457,gadis,0,3,0
458,gagah,0,1,0
459,gairah,0,1,0
460,garam,0,1,0
461,garengnya,0,1,0
462,garwa,0,6,0
463,gave,6,0,0
464,geloyoran,0,1,0
465,gemar,0,2,0
466,gemas,0,1,0
467,gembuk,0,1,0
468,gembukan,0,1,0
469,gendruwo,0,1,0
470,gendul,0,1,0
471,genggam,0,3,0
472,geram,0,1,0
473,get,13,0,0
474,gettin,3,0,0
475,getting,18,0,0
476,gigi,0,3,0
477,giginya,0,1,0
478,girl,3,0,0
479,girlfriend,3,0,0
480,girly,1,0,0
481,give,6,0,0
482,go,17,0,0
483,goddamn,2,0,0
484,goin,6,0,0
485,going,6,0,0
486,gon,9,0,0
487,gone,4,0,0
488,gonna,6,0,0
489,good,6,0,0
490,goodbye,3,0,1
491,gosok,0,3,0
492,got,12,0,0
493,gotta,6,0,0
494,greatest,1,0,0
495,gudel,0,8,0
496,guess,3,0,0
497,guillotine,1,0,0
498,guna,0,1,0
499,gundhul,0,1,0
500,gundukan,0,1,0
501,ha,0,6,0
502,haaaoo,0,1,0
503,haah,0,4,0
504,haahah,0,1,0
505,haahahah,0,3,0
506,haahha,0,1,0
507,haahhawohooh,0,1,0
508,haahoh,0,1,0
509,haahohoh,0,5,0
510,habis,0,4,0
511,habiskan,0,1,0
512,hadapanmu,0,1,0
513,hadapi,0,1,0
514,hadir,0,2,0
515,hadirku,0,2,0
516,hadirmu,0,3,0
517,hahaah,0,1,0
518,hair,2,0,0
519,hal,0,7,0
520,hampir,0,4,0
521,hancur,0,7,0
522,hancurkan,0,2,0
523,hand,6,0,0
524,hangat,0,5,0
525,hanya,0,24,0
526,hanyalah,0,2,0
527,happens,1,0,0
528,happiness,4,0,0
529,happy,6,0,0
530,hapus,0,1,0
531,harapan,0,5,0
532,harapanmu,0,1,0
533,hard,5,0,0
534,harder,2,0,0
535,hari,0,19,0
536,harihari,0,1,0
537,harimu,0,1,0
538,haru,0,1,0
539,harum,0,1,0
540,harus,0,25,0
541,hate,7,0,0
542,hati,0,34,0
543,hatihati,0,1,0
544,hatiku,0,15,0
545,hatimu,0,10,0
546,hawamu,0,1,0
547,he,10,0,0
548,head,6,0,0
549,headin,1,0,0
550,hear,6,0,0
551,heart,5,0,0
552,heartache,1,0,0
553,heater,1,0,0
554,hebat,0,4,0
555,hehmmm,0,1,0
556,held,3,0,0
557,hell,5,0,0
558,hempaskanku,0,1,0
559,hero,1,0,0
560,hey,2,0,8
561,hi,1,0,0
562,hide,5,0,0
563,hiding,1,0,0
564,hidup,0,6,0
565,hidupku,0,13,0
566,hiduplah,0,1,0
567,hidupmu,0,4,0
568,hidupnya,0,2,0
569,high,3,0,0
570,hilang,0,20,0
571,hingga,0,4,0
572,hitamputih,0,4,0
573,hmm,0,1,0
574,hmmmm,0,1,0
575,hoho,0,1,0
576,hohoho,0,1,0
577,hold,11,0,0
578,home,5,0,0
579,honest,3,0,0
580,hooh,0,12,0
581,hoohoh,0,10,0
582,hoohohoh,0,1,0
583,hoohuhoh,0,1,0
584,hoohwooh,0,1,0
585,hopeless,3,0,0
586,hopin,1,0,0
587,hoping,1,0,0
588,hospital,4,0,0
589,hot,1,0,0
590,hotel,1,0,0
591,howd,3,0,0
592,howoho,0,1,0
593,howowo,0,1,0
594,howowooh,0,1,0
595,hu,0,1,0
596,huhuhu,0,1,0
597,hujan,0,2,0
598,huoh,0,2,0
599,hurt,2,0,0
600,hurting,1,0,0
601,huuhuh,0,4,0
602,huuhuhuhuh,0,1,0
603,huwoo,0,1,0
604,ia,0,3,0
605,ibu,0,1,0
606,ibumu,0,1,0
607,id,8,0,0
608,idea,4,0,0
609,ignoring,1,0,0
610,ill,18,0,0
611,im,85,0,0
612,indah,0,14,0
613,indahmu,0,5,0
614,indahnya,0,7,0
615,ingat,0,3,0
616,ingin,0,20,0
617,inginkan,0,3,0
618,inginkannya,0,1,0
619,ini,0,53,0
620,inilah,0,4,0
621,innocence,1,0,0
622,insecure,1,0,0
623,insinuating,1,0,0
624,invasion,1,0,0
625,irama,0,1,0
626,iringi,0,1,0
627,istimewa,0,1,0
628,istrinya,0,1,0
629,itll,6,0,0
630,itu,0,14,0
631,ive,17,0,0
632,izinkanku,0,1,0
633,jadi,0,17,0
634,jadikan,0,8,0
635,jail,2,0,0
636,jalan,0,1,0
637,jalanmu,0,1,0
638,jalannya,0,4,0
639,jangan,0,12,0
640,janganlah,0,3,0
641,janji,0,6,0
642,jantung,0,5,0
643,jantungku,0,6,0
644,jarak,0,1,0
645,jatuh,0,3,0
646,jauh,0,5,0
647,jawab,0,1,0
648,jelaga,0,1,0
649,jelas,0,3,0
650,jemari,0,1,0
651,jerusalem,3,0,0
652,ji,0,24,0
653,jika,0,10,0
654,jiwa,0,2,0
655,jiwaku,0,2,0
656,joko,0,1,0
657,jrangkong,0,1,0
658,jualan,0,1,0
659,juara,0,1,0
660,judge,2,0,0
661,juga,0,10,0
662,jujur,0,2,0
663,jumped,1,0,0
664,kadhung,0,1,0
665,kakimu,0,1,0
666,kala,0,1,0
667,kalau,0,1,0
668,kalbu,0,3,0
669,kali,0,5,0
670,kalian,0,2,0
671,kan,0,28,0
672,kapankah,0,3,0
673,karena,0,7,0
674,karna,0,6,0
675,karnamu,0,3,0
676,kasih,0,5,0
677,kasihku,0,2,0
678,kata,0,12,0
679,katanya,0,4,0
680,kau,0,156,0
681,kauajarkanku,0,6,0
682,kauaku,0,3,0
683,kauberi,0,2,0
684,kaubuat,0,2,0
685,kaucari,0,3,0
686,kaucurangi,0,1,0
687,kauhargai,0,1,0
688,kauhentikan,0,1,0
689,kaulah,0,1,0
690,kaulakukan,0,1,0
691,kaulupa,0,1,0
692,kauminta,0,2,0
693,kaupuji,0,2,0
694,kausapa,0,2,0
695,kautahu,0,2,0
696,kautinggalkan,0,1,0
697,kauucapkan,0,1,0
698,keadaan,0,1,0
699,kecemplung,0,1,0
700,kecewa,0,4,0
701,kecil,0,3,0
702,kecilku,0,3,0
703,keep,5,0,0
704,keeping,5,0,0
705,kehilangan,0,7,0
706,kejauhan,0,1,0
707,kekasih,0,1,0
708,kekasihmu,0,1,0
709,kekurangan,0,2,0
710,kelak,0,4,0
711,kelam,0,1,0
712,keliru,0,6,0
713,kemarin,0,4,0
714,kemaron,0,1,0
715,kembali,0,13,0
716,kembalilah,0,1,0
717,kenangan,0,12,0
718,kendala,0,3,0
719,kenong,0,1,0
720,kenyataannya,0,1,0
721,kepadaku,0,1,0
722,kepala,0,1,0
723,kepalaku,0,2,0
724,kepalanya,0,1,0
725,kepedihan,0,1,0
726,kepulanganmu,0,1,0
727,keputusan,0,2,0
728,kera,0,5,0
729,keruh,0,1,0
730,kesetiaan,0,1,0
731,keshi,1,0,0
732,ketika,0,6,0
733,ketoprak,0,1,0
734,ketulusan,0,3,0
735,key,1,0,0
736,khawatir,0,4,0
737,ki,0,1,0
738,kiasan,0,1,0
739,kidung,0,8,0
740,kill,8,0,0
741,killed,3,0,0
742,kind,2,0,0
743,king,3,0,0
744,kini,0,17,0
745,kiri,0,1,0
746,kisah,0,13,0
747,kiss,3,0,0
748,kita,0,43,0
749,knee,3,0,0
750,know,40,0,0
751,kok,0,6,0
752,konon,0,2,0
753,kowe,0,1,0
754,ku,0,117,0
755,kuat,0,6,0
756,kuatkan,0,3,0
757,kubayangkan,0,1,0
758,kubentuk,0,3,0
759,kucari,0,1,0
760,kucintai,0,3,0
761,kucoba,0,8,0
762,kudatangi,0,1,0
763,kudengar,0,2,0
764,kue,0,1,0
765,kugenggam,0,2,0
766,kuhitunghitung,0,1,0
767,kujalani,0,6,0
768,kujelaskan,0,2,0
769,kukan,0,1,0
770,kukenal,0,2,0
771,kukenalkan,0,2,0
772,kukira,0,13,0
773,kukirimkan,0,2,0
774,kulakukan,0,3,0
775,kulalui,0,1,0
776,kulewati,0,1,0
777,kulihat,0,2,0
778,kumiliki,0,3,0
779,kupaksakan,0,2,0
780,kupastikan,0,3,0
781,kupunya,0,1,0
782,kuputarkan,0,1,0
783,kurasakan,0,1,0
784,kurindu,0,1,0
785,kutahan,0,1,0
786,kutanamkan,0,3,0
787,kutanya,0,1,0
788,kutaruh,0,1,0
789,kutemui,0,2,0
790,kuterima,0,2,0
791,kutrima,0,5,0
792,kuungkapkan,0,1,0
793,kuyakinkan,0,2,0
794,kеnangan,0,1,0
795,la,5,0,0
796,lady,1,0,0
797,lagi,0,36,0
798,lagu,0,2,0
799,lain,0,6,0
800,lalala,4,0,0
801,lalu,0,7,0
802,lalui,0,2,0
803,lama,0,3,0
804,lampu,0,1,0
805,landak,0,1,0
806,langit,0,2,0
807,langkah,0,2,0
808,langkahku,0,1,0
809,lantas,0,4,0
810,lapen,0,1,0
811,lara,0,6,0
812,laras,0,1,0
813,lari,0,1,0
814,last,2,0,0
815,latarku,0,3,0
816,latarmu,0,3,0
817,late,1,0,0
818,lately,4,0,0
819,laugh,1,0,0
820,laughed,1,0,0
821,laughing,2,0,0
822,lautan,0,2,0
823,layar,0,1,0
824,laying,1,0,0
825,le,2,0,0
826,learned,2,0,0
827,least,1,0,0
828,leave,12,0,0
829,leavin,2,0,0
830,lebih,0,8,0
831,leccy,1,0,0
832,ledalede,0,6,0
833,lee,3,0,0
834,left,6,0,0
835,lelah,0,3,0
836,lelap,0,1,0
837,lelur,0,1,0
838,lemah,0,2,0
839,lemahkan,0,2,0
840,lembar,0,1,0
841,lembaran,0,3,0
842,lembu,0,1,0
843,lembutkan,0,1,0
844,lengkapi,0,7,0
845,lesu,0,1,0
846,let,15,0,0
847,letakkan,0,3,0
848,lewat,0,5,0
849,lewati,0,2,0
850,lie,3,0,3
851,life,5,0,0
852,lifelong,4,0,0
853,light,6,0,0
854,lighting,1,0,0
855,lihai,0,3,0
856,lihat,0,6,0
857,like,29,0,0
858,lima,0,1,0
859,limbo,2,0,0
860,limun,0,1,0
861,line,3,0,0
862,lini,0,1,0
863,lirih,0,2,0
864,listen,2,0,0
865,listened,1,0,0
866,little,2,0,0
867,live,3,0,0
868,liver,1,0,0
869,lock,3,0,0
870,lonely,6,0,0
871,long,17,0,0
872,look,18,0,0
873,looked,1,0,0
874,looking,2,0,0
875,lose,1,0,0
876,losing,2,0,0
877,lost,4,0,0
878,lot,2,0,0
879,lotion,1,0,0
880,loud,2,0,0
881,love,48,0,0
882,lover,2,0,0
883,lovin,3,0,0
884,loving,1,0,0
885,loyo,0,1,0
886,lucu,0,1,0
887,luka,0,10,0
888,lukai,0,1,0
889,lukiskan,0,3,0
890,lung,1,0,0
891,lupa,0,2,0
892,lupakan,0,4,0
893,lupakanmu,0,3,0
894,lyin,1,0,0
895,lying,1,0,0
896,mabuk,0,1,0
897,made,7,0,0
898,mahligai,0,2,0
899,make,17,0,0
900,making,2,0,0
901,makna,0,1,0
902,maksud,0,1,0
903,malah,0,6,0
904,malaikat,0,1,0
905,malam,0,2,0
906,malu,0,1,0
907,mampu,0,10,0
908,mampukah,0,3,0
909,mampus,0,1,0
910,man,1,0,0
911,mana,0,7,0
912,manusia,0,5,0
913,many,2,0,0
914,marah,0,3,0
915,market,1,0,0
916,marmoyo,0,2,0
917,masa,0,4,0
918,masalah,0,2,0
919,masih,0,32,0
920,mata,0,9,0
921,matahari,0,1,0
922,mataku,0,2,0
923,matamu,0,3,0
924,mati,0,9,0
925,matter,2,0,0
926,mature,6,0,0
927,mau,0,5,0
928,maybe,5,0,0
929,mean,1,0,0
930,meaning,1,0,0
931,meant,4,0,0
932,megah,0,1,0
933,melamun,0,1,0
934,melangkah,0,1,0
935,melanjutkan,0,2,0
936,melebur,0,1,0
937,melewat,0,1,0
938,melihat,0,2,0
939,melihatku,0,1,0
940,melihatmu,0,6,0
941,melirik,0,1,0
942,melompatlompat,0,1,0
943,meloncat,0,1,0
944,meluap,0,1,0
945,melukai,0,2,0
946,melukis,0,2,0
947,melukiskan,0,1,0
948,melupakan,0,4,0
949,melupakanku,0,1,0
950,melupakanmu,0,3,0
951,memaksakan,0,1,0
952,memandang,0,3,0
953,memang,0,4,0
954,membalut,0,1,0
955,membasuh,0,1,0
956,membawa,0,1,0
957,membawamu,0,1,0
958,membekas,0,1,0
959,membenci,0,1,0
960,membiru,0,2,0
961,membohongi,0,3,0
962,membuat,0,1,0
963,membuatku,0,9,0
964,membuatmu,0,1,0
965,membungkus,0,1,0
966,membunuhku,0,1,0
967,membutuhkanku,0,1,0
968,memelukku,0,4,0
969,memikirkan,0,1,0
970,memilih,0,7,0
971,memilikimu,0,1,0
972,meminta,0,2,0
973,meminum,0,3,0
974,meminumnya,0,1,0
975,memori,0,3,0
976,memory,1,0,0
977,mempan,0,1,0
978,memujamu,0,1,0
979,memukul,0,1,0
980,memulai,0,2,0
981,memutar,0,1,0
982,men,2,0,0
983,menabuh,0,1,0
984,menangis,0,5,0
985,menanti,0,4,0
986,menaruh,0,4,0
987,menata,0,3,0
988,mencari,0,5,0
989,mencintaimu,0,8,0
990,mencintamu,0,2,0
991,mencoba,0,2,0
992,mendayu,0,1,0
993,mendehem,0,1,0
994,mendekat,0,1,0
995,mendewasakan,0,2,0
996,menemanimu,0,1,0
997,menembus,0,2,0
998,menemui,0,3,0
999,menemukan,0,3,0
1000,menemukanmu,0,2,0
1001,menepi,0,1,0
1002,menepikan,0,1,0
1003,menerima,0,4,0
1004,menetap,0,1,0
1005,mengabdi,0,2,0
1006,mengajarkan,0,1,0
1007,mengalir,0,1,0
1008,mengambil,0,1,0
1009,mengandung,0,1,0
1010,mengantar,0,1,0
1011,mengapa,0,25,0
1012,mengempit,0,1,0
1013,mengenal,0,2,0
1014,mengenang,0,1,0
1015,mengering,0,1,0
1016,mengerti,0,5,0
1017,mengeruh,0,2,0
1018,mengevaluasi,0,1,0
1019,menggantikanmu,0,2,0
1020,menggebugebu,0,2,0
1021,menggeloyor,0,1,0
1022,menggerong,0,1,0
1023,menggok,0,6,0
1024,menggonggong,0,1,0
1025,menghadapi,0,3,0
1026,menghakimimu,0,3,0
1027,menghapusmu,0,1,0
1028,menghias,0,1,0
1029,menghilang,0,11,0
1030,menghubungimu,0,1,0
1031,mengikat,0,1,0
1032,mengingat,0,2,0
1033,menginginkanmu,0,1,0
1034,mengubah,0,1,0
1035,mengucap,0,2,0
1036,mengukir,0,3,0
1037,mengulang,0,4,0
1038,mengutuki,0,1,0
1039,menikmati,0,2,0
1040,meninggalkan,0,3,0
1041,meninggalkanku,0,3,0
1042,menjadi,0,9,0
1043,menjalani,0,2,0
1044,menjauh,0,3,0
1045,menjelajahi,0,1,0
1046,menoleh,0,3,0
1047,menunggu,0,6,0
1048,menuntut,0,1,0
1049,menyadarkanku,0,2,0
1050,menyebalkannya,0,1,0
1051,menyebutmu,0,1,0
1052,menyela,0,1,0
1053,menyembuhkan,0,3,0
1054,menyepi,0,1,0
1055,menyerah,0,4,0
1056,menyesal,0,2,0
1057,menyimpan,0,3,0
1058,merajut,0,2,0
1059,merangkai,0,1,0
1060,merangkum,0,1,0
1061,merasa,0,2,0
1062,merasakannya,0,1,0
1063,merayu,0,1,0
1064,merebut,0,3,0
1065,mereka,0,5,0
1066,merelakanmu,0,4,0
1067,merenungi,0,1,0
1068,merubah,0,3,0
1069,merumput,0,1,0
1070,meski,0,10,0
1071,meskipun,0,1,0
1072,mesti,0,1,0
1073,met,3,0,0
1074,meter,1,0,0
1075,might,9,0,0
1076,mightiest,1,0,0
1077,miliki,0,4,0
1078,milikimu,0,1,0
1079,milikku,0,3,0
1080,mimpi,0,2,0
1081,mimpiku,0,3,0
1082,mimpin,0,6,0
1083,mind,5,0,0
1084,mine,17,0,0
1085,minum,0,1,0
1086,minute,2,0,0
1087,miringmiring,0,1,0
1088,miringnya,0,1,0
1089,mirror,5,0,0
1090,misery,3,0,0
1091,miss,1,0,0
1092,missing,4,0,0
1093,missionary,3,0,0
1094,mistake,1,0,0
1095,mlenuk,0,1,0
1096,mloyo,0,3,0
1097,mmm,4,0,0
1098,mmmm,0,2,0
1099,mobile,1,0,0
1100,moment,6,0,0
1101,monokrom,0,1,0
1102,moon,3,0,0
1103,moonlight,3,0,0
1104,morning,3,0,0
1105,mother,3,0,0
1106,motion,1,0,0
1107,moving,1,0,0
1108,muak,0,15,0
1109,mudah,0,5,0
1110,mudaku,0,1,0
1111,muka,0,3,0
1112,mulai,0,6,0
1113,mungkin,0,16,0
1114,murder,1,0,0
1115,mеngapa,0,1,0
1116,na,2,0,0
1117,nafasku,0,1,0
1118,nahahah,1,0,0
1119,nahuhuh,1,0,0
1120,naifku,0,1,0
1121,nak,0,3,0
1122,namamu,0,1,0
1123,name,4,0,0
1124,namun,0,12,0
1125,nana,2,0,0
1126,nanana,2,0,0
1127,nanti,0,2,0
1128,nasib,0,1,0
1129,ndheprok,0,6,0
1130,need,6,0,0
1131,never,39,0,0
1132,new,5,0,0
1133,next,4,0,0
1134,ngarep,0,6,0
1135,ngumpat,0,1,0
1136,nice,2,0,0
1137,night,21,0,0
1138,nihil,0,1,0
1139,nobody,2,0,0
1140,none,4,0,0
1141,noones,5,0,0
