Column1,id,track,artist,lyrics,language,translate
10,50x1Ic8CaXkYNvjmxe3WXy,Those Eyes,New West,"When we′re out in a crowd laughing loud
And nobody knows why
When we're lost at a club, getting drunk
And you give me that smile
Going home in the back of a car
And your hand touches mine
When we′re done making love
And you look up and give me those eyes

'Cause all of the small things that you do
Are what remind me why I fell for you
And when we're apart, and I′m missing you
I close my eyes and all I see is you
And the small things you do

When you call me at night while you′re out
Getting high with your friends (high with your friends)
Every ""hi"", every ""bye"", every ""I love you"" you've ever said
(You′ve ever said)

'Cause all of the small things that you do
Are what remind me why I fell for you
And when we′re apart, and I'm missing you
I close my eyes and all I see is you
And the small things you do

When we′re done making love
And you look up and give me those eyes

'Cause all of the small things that you do
Are what remind me why I fell for you
And when we're apart, and I′m missing you
I close my eyes and all I see is you
And all I see is you and the small things you do

All the small things you do",en,"When we′re out in a crowd laughing loud
And nobody knows why
When we're lost at a club, getting drunk
And you give me that smile
Going home in the back of a car
And your hand touches mine
When we′re done making love
And you look up and give me those eyes

'Cause all of the small things that you do
Are what remind me why I fell for you
And when we're apart, and I′m missing you
I close my eyes and all I see is you
And the small things you do

When you call me at night while you′re out
Getting high with your friends (high with your friends)
Every ""hi"", every ""bye"", every ""I love you"" you've ever said
(You′ve ever said)

'Cause all of the small things that you do
Are what remind me why I fell for you
And when we′re apart, and I'm missing you
I close my eyes and all I see is you
And the small things you do

When we′re done making love
And you look up and give me those eyes

'Cause all of the small things that you do
Are what remind me why I fell for you
And when we're apart, and I′m missing you
I close my eyes and all I see is you
And all I see is you and the small things you do

All the small things you do"
11,2bdVgAQgosGUJoViVDNeOV,LIMBO,keshi,"I′ve just been goin' through motions, back and forth like a ocean
I am a fraud, I am the shit, hoping that nobody notice
Bang chest in the morning, head down in the night
Drink less if I wanted, strike up with a light

And square up, I′m the mightiest
Myself in the fight, hurt twice, but I tried it
No advice for this shit, might die for this shit
Do I feel alive, feel alive, feel alive?

Feel more like limbo, hands out my window
Chasin' that sunset, that's more my tempo
Yeah, that′s more my tempo

Ooh, but this is all that I am
I only show you the best of me
The best of me

Looked in my demons and saw myself
Put all my meaning in someone else
Outta sight, outta mind, don′t know where to find it
Don't know where to hide, but I still

Eat good, drink good, feel good, it′s all good
Can't hear my head when I′m sat beside ya
Fucked lungs and a liver, good looks in the mirror
Do I feel alive, feel alive, feel alive?

Feel more like limbo, hands out my window
Chasin' that sunset, that′s more my tempo
That's more my tempo

(Keshi) ooh, but this is all that I am
I'll only show you the best of me
The best of me

Ooh, tryin′, but I′m just a man
Hopin' it won′t get the best of me
The best of me",en,"I′ve just been goin' through motions, back and forth like a ocean
I am a fraud, I am the shit, hoping that nobody notice
Bang chest in the morning, head down in the night
Drink less if I wanted, strike up with a light

And square up, I′m the mightiest
Myself in the fight, hurt twice, but I tried it
No advice for this shit, might die for this shit
Do I feel alive, feel alive, feel alive?

Feel more like limbo, hands out my window
Chasin' that sunset, that's more my tempo
Yeah, that′s more my tempo

Ooh, but this is all that I am
I only show you the best of me
The best of me

Looked in my demons and saw myself
Put all my meaning in someone else
Outta sight, outta mind, don′t know where to find it
Don't know where to hide, but I still

Eat good, drink good, feel good, it′s all good
Can't hear my head when I′m sat beside ya
Fucked lungs and a liver, good looks in the mirror
Do I feel alive, feel alive, feel alive?

Feel more like limbo, hands out my window
Chasin' that sunset, that′s more my tempo
That's more my tempo

(Keshi) ooh, but this is all that I am
I'll only show you the best of me
The best of me

Ooh, tryin′, but I′m just a man
Hopin' it won′t get the best of me
The best of me"
12,29lBFGkfr7EoJlb3lxi9Ij,Menyesal,Yovie Widianto,"Semula, ku tak yakin
Kaulakukan ini padaku
Meski di hati merasa
Kau berubah saat kau mengenal dia

Bila cinta tak lagi untukku
Bila hati tak lagi padaku
Mengapa harus dia yang merebut dirimu? Ho-oh
Bila aku tak baik untukmu
Dan bila dia bahagia dirimu
Aku ′kan pergi meski hati tak akan rela

Ha-ah-ha

Terkadang ku menyesal
Mengapa kukenalkan dia padamu?

Bila cinta tak lagi untukku
Bila hati tak lagi padaku
Mengapa harus dia yang merebut dirimu? Ho-oh
Bila aku tak baik untukmu
Dan bila dia bahagia dirimu
Aku 'kan pergi meski hati tak akan rela

Uh-hu-oh
Uh-uh-uh (uh-uh)
Uh-uh (ho-ho)

Bila cinta tak lagi untukku (bila cinta)
Bila hati tak lagi padaku (tak lagi untukku)
Mengapa harus (mengapa harus)
Dia merebut dirimu? (Ho-oh-oh) ho-oh-oh

Bila aku tak baik untukmu
Dan bila dia bahagia dirimu
Aku ′kan pergi meski hati tak akan rela

Terkadang ku menyesal
Mengapa kukenalkan dia padamu?
Ha-ha-ah (hu-oh)",id,"Initially, I'm not sure
You do this to me
Even though in the heart feels
You change when you know him

If love is no longer for me
When the heart is no longer to me
Why should he win you? Ho-oh
If I'm not good for you
And if he is happy you
I will leave even though the heart won't be willing

Ha-ah-ha

Sometimes I'm sorry
Why do I introduce him to you?

If love is no longer for me
When the heart is no longer to me
Why should he win you? Ho-oh
If I'm not good for you
And if he is happy you
I will leave even though the heart won't be willing

Uh-hu-oh
Uh-uh-uh (uh-uh)
Uh-Uh (Ho-ho)

If love is no longer for me (if love)
If the heart is no longer to me (no longer for me)
Why it must (why should)
He seized you? (Ho-oh-oh) Ho-Oh-Oh

If I'm not good for you
And if he is happy you
I will leave even though the heart won't be willing

Sometimes I'm sorry
Why do I introduce him to you?
Ha-ha-ah (hu-oh)"
13,26cvTWJq2E1QqN4jyH2OTU,Tak Segampang Itu,Anggi Marito,"Waktu demi waktu, hari demi hari
Sadar ku t'lah sendiri
Kau t'lah pergi jauh, tinggalkan diriku
Ternyata ku rindu

Senyuman yang s'lalu membungkus hati yang terluka
Di depan mereka
Tuhan masih pantaskah ku 'tuk bersamanya?
Kar'na hati ini inginkannya

Tak segampang itu, ku mencari penggantimu
Tak segampang itu, ku menemukan sosok seperti dirimu, Cinta
Kau tahu betapa besar cinta yang kutanamkan padamu
Mengapa kau memilih untuk berpisah?

Ho-oh, terlalu besar kutaruh harapan pada dirimu
Itu alasanku lama tanpa dirimu, wo-oh
Mereka yang bilang, ku akan dapat lebih darimu
Tak mungkin, semua itu tak mudah, ho-oh

(Ku mencari penggantimu)
Tak segampang itu, ku menemukan sosok seperti dirimu
Oo-oh, Cinta
Kau tahu betapa besar cinta yang kutanamkan padamu
Mengapa kau memilih untuk berpisah?

(Ku mencari penggantimu) ho-oo-oh
Sosok seperti dirimu, Cinta
Kau tahu betapa besar cinta yang kutanamkan padamu
Mengapa kau memilih untuk berpisah?

Kau memilih untuk berpisah",id,"Time after time, day after day
I realized myself
You have left far, leave me
Turns out I miss

The smile that always wrapped around the injured heart
In front of them
God still deserves me to be with Him?
Because this heart wants it

Not that easy, I looked for your replacement
Not that easy, I found a figure like you, love
You know how much love I put you
Why did you choose to separate?

Ho-oh, I put your hope too much
That's my long reason without you, wo-oh
Those who say, I'll get more than you
No way, all that is not easy, Ho-oh

(I'm looking for your replacement)
Not that easy, I found a figure like you
Oo-oh, love
You know how much love I put you
Why did you choose to separate?

(I'm looking for your replacement) HO-OO-OH
A figure like you, love
You know how much love I put you
Why did you choose to separate?

You chose to separate"
14,3r8RuvgbX9s7ammBn07D3W,Ditto,NewJeans,"우-우, 우-우

우-우, 우-우

Stay in the middle, like you a little
Don′t want no riddle, 말해줘, say it back
Oh, say it ditto, 아침은 너무 멀어
So say it ditto

훌쩍 커버렸어, 함께한 기억처럼
널 보는 내 마음은, 어느새 여름 지나 가을
기다렸지 all this time

Do you want somebody like I want somebody?
날 보고 웃었지만 do you think about me now, yeah?
All the time, yeah? All the time?

I got no time to lose
내 길었던 하루, 난 보고 싶어
라타타타, 울린 심장 (라타타타)

I got nothing to lose
널 좋아한다고, ooh-whoa, ooh-whoa, ooh-whoa
라타타타, 울린 심장 (라타타타)
But I don't want to

Stay in the middle, like you a little
Don′t want no riddle, 말해줘, say it back
Oh, say it ditto, 아침은 너무 멀어
So say it ditto

I don't want to walk in this 미로
다 아는 건 아니어도, 바라던 대로
말해줘, say it back, oh, say it ditto
I want you so, want you, so say it ditto

Not just anybody, 너를 상상했지
항상 닿아있던, 처음 느낌 그대로 난
기다렸지 all this time

I got nothing to lose
널 좋아한다고, ooh-whoa, ooh-whoa, ooh-whoa
라타타타, 울린 심장 (라타타타)
But I don't want to

Stay in the middle, like you a little
Don′t want no riddle, 말해줘, say it back
Oh, say it ditto, 아침은 너무 멀어
So say it ditto

I don′t want to walk in this 미로
다 아는 건 아니어도, 바라던 대로
말해줘, say it back, oh, say it ditto
I want you so, want you, so say it ditto

우-우, 우-우
우-우, 우-우",ko,"Wow, Wu, Woo-Woo

Wow, Wu, Woo-Woo

Stay in the MidDle, Like You a Little
DON'T Want No RidDle, tell me, say it back
Oh, say it ditto, morning is too far
So say it ditto

It has grown up, like a memory we have together
My heart to see you is autumn after summer
I waited all this time

Do you want somebody likes I want somebody?
I laughed at me, but do you think about me now, yeah?
All the time, yeah? All the time?

I got no time to Lose
My long day, I miss you
Latata, Ulin Heart (Latata)

I got nothing to Lose
I like you, OOH-WOA, OOH-WOA, OOH-WOA
Latata, Ulin Heart (Latata)
But I don't want to

Stay in the MidDle, Like You a Little
DON'T Want No RidDle, tell me, say it back
Oh, say it ditto, morning is too far
So say it ditto

I don't want to want to want in this maze
I don't know everything, as I wanted
Tell me, say it back, oh, say it ditto
I want you so, want you, so say it ditto

Not just anybody, I imagined you
I always touched, I feel like the first time
I waited all this time

I got nothing to Lose
I like you, OOH-WOA, OOH-WOA, OOH-WOA
Latata, Ulin Heart (Latata)
But I don't want to

Stay in the MidDle, Like You a Little
DON'T Want No RidDle, tell me, say it back
Oh, say it ditto, morning is too far
So say it ditto

I don't want to want in this maze
I don't know everything, as I wanted
Tell me, say it back, oh, say it ditto
I want you so, want you, so say it ditto

Wow, Wu, Woo-Woo
Wow, Wu, Woo-Woo"
15,65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,"이 노래는, it′s about you, baby
Only you
You, you, you, you, you, you, you

내가 힘들 때 울 것 같을 때
기운도 이젠 나지 않을 때
(It's you) 날 걱정하네, (it′s you) 날 웃게하네
말 안 해도 돼, boy, what do you say?

(They keep on asking me, ""who is he?"")
멀리든 언제든지 달려와
(They keep on asking me, ""who is he?"")
바쁜 척도 없이 넌 나타나
(They keep on asking me, ""who is he?"")
""이게 말이 되니?"" 난 물어봐
(They keep on asking me, ""who is he?"")
너는 말야, he's the one that's living in my system, baby

Oh my, oh my God! 예상했어 나
I was really hoping that he will come through
Oh my, oh my God! 단 너뿐이야
Asking all the time about what I should do

No, I can never let him go, 너만 생각나 24
난 행운아야 정말로, I know, I know
널 알기 전까지는 나, 의미 없었어 전부 다
내 맘이 끝이 없는 걸, I know, I know
I′m going crazy, right?

어디서든, 몇 번이든
There ain′t nothing else that I would hold on to
I hear his voice through all the noise
잠시라도 내 손 놓지 마, no, no
걱정 없잖아 'cause I got someone
혼자라도 괜찮아 ′cause I love someone

(They keep on asking me, ""who is he?"")
멀리든 언제든지 달려와
(They keep on asking me, ""who is he?"")
바쁜 척도 없이 넌 나타나
(They keep on asking me, ""who is he?"")
""이게 말이 되니?"" 난 물어봐
(They keep on asking me, ""who is he?"")
너는 말야, he's the one that′s living in my system, baby

Oh my, oh my God! 예상했어 나
I was really hoping that he will come through
Oh my, oh my God! 단 너뿐이야
Asking all the time about what I should do

No, I can never let him go, 너만 생각나 24
난 행운아야 정말로, I know, I know
널 알기 전까지는 나, 의미 없었어 전부 다
내 맘이 끝이 없는 걸, I know, I know
He's the one that′s living in my system, baby

Baby, baby
Bab-baby (I'm going crazy, right?)
Baby, baby (I'm going crazy, right?)
Bab-baby (너와 나)

My heart is glowing, it′s glowing up (glowing up)
너랑만 있으면 무서울 게 없어 (glowing up)
가득 메워진, 다 메워진 (붉어진)
My heart is glowing, it′d be glowing ('cause he!)

Oh my, oh my God! 예상했어 나
I was really hoping that he will come through
Oh my, oh my God! 단 너뿐이야
Asking all the time about what I should do (너와 나)

No, I can never let him go, he′s right there for me, 24
난 행운아야 정말로, I know, I know (너와 나)
널 알기 전까지는 나, 의미 없었어 전부 다, 어떡해
My heart is glowing, it's glowing
My heart is glowing up, so I can′t sleep at night",ko,"This song, it's about you, baby
Only you
You, you, you, you, you, you, you

When I feel like we're crying when I have a hard time
When the energy is not me anymore
(It's you) I'm worried about me, (it's you)
You don't have to say, what do you say?

(The Keep on Asking ME, ""Who is he?"")
Run at any time away or at any time
(The Keep on Asking ME, ""Who is he?"")
You appear without a busy measure
(The Keep on Asking ME, ""Who is he?"")
""Does this make sense?"" I ask
(The Keep on Asking ME, ""Who is he?"")
You're, He's the one that 's Living in My System, Baby

Oh my, oh my god! I expected me
I was real hoping that he will come through
Oh my, oh my god! It's only you
Asking All The Time About What I SHOULD Do

NO, I can Never Let Him Go, I only remember you 24
I'm lucky, really, I know, I know
Until you knew you, it wasn't meaningful.
My heart is endless, I know, I know
I'M Going crazy, right?

Wherever you, how many times
There ain'T Nothing Else That I would Hold on to
I HEAR HIS VOICE THROUGH ALL The Noise
Don't let go of my hands for a while, NO, NO
You don't have to worry 'cause I goT somee
It's okay to be alone

(The Keep on Asking ME, ""Who is he?"")
Run at any time away or at any time
(The Keep on Asking ME, ""Who is he?"")
You appear without a busy measure
(The Keep on Asking ME, ""Who is he?"")
""Does this make sense?"" I ask
(The Keep on Asking ME, ""Who is he?"")
You're, He's the one that ’s Living in my system, baby

Oh my, oh my god! I expected me
I was real hoping that he will come through
Oh my, oh my god! It's only you
Asking All The Time About What I SHOULD Do

NO, I can Never Let Him Go, I only remember you 24
I'm lucky, really, I know, I know
Until you knew you, it wasn't meaningful.
My heart is endless, I know, I know
He's the one that ’s Living in My System, Baby

Baby, Baby
BAB-BABY (I'm Going Crazy, Right?)
Baby, Baby (I'm Going Crazy, Right?)
BAB-BABY (you and me)

My Heart is glowing, it 's glowing up (glowing up)
If you are with you, there's nothing scary (Glowing Up)
Filled, filled (red)
My Heart is Glowing, IT'D Be Glowing ('cause he!)

Oh my, oh my god! I expected me
I was real hoping that he will come through
Oh my, oh my god! It's only you
Asking All The Time About What I SHOULD Do (You and Me)

NO, I Can Never Let Him Go, He's Right There For Me, 24
I'm lucky, I'm really, I know, I know (you and me)
Until I knew you, it wasn't meaningful until I knew you, everything, what should I do
My Heart is Glowing, it's glowing
My Heart is Glowing Up, so I can sleep at night"
16,0PtJbtW50jcvvswNPn3QGd,Serana,For Revenge,"Di setiap masa yang telah kulewati
Meluap bersama kisah tak terganti
Senja mulai membiru, menunggu yang berlalu
Haru air mata menyela, iringi rindunya

Jika ku merasa sepi
Kembalilah ke tempatku menanti
Sebelum waktu menuntut mati

(Ha-ah-oh-oh)
(Ha-ah-oh-oh)
(Ha-ah-oh-oh)
(Ha-ah-oh-oh)

Beri tahu aku cara melupakanmu
Seperti kauajarkanku dewasa
Beri tahu aku cara merelakanmu
Seperti kauajarkanku bahagia

(Ah-ah-oh-oh)
(Ha-ah-oh-oh)

Biarkanku menepi jika kau akan kembali
Dan yakinkanku bahwa kau t′lah temukan yang kaucari
Izinkanku membenci pada sang pengganti
Dan yakinkanku bahwa kau t'lah temukan yang kaucari

Beri tahu aku cara melupakanmu
Seperti kauajarkanku dewasa
Beri tahu aku cara merelakanmu
Seperti kauajarkanku bahagia

Beri tahu aku cara melupakanmu
Seperti kauajarkanku dewasa
Beri tahu aku cara merelakanmu
Seperti kauajarkanku untuk s′lalu sempurna",id,"In every time I have passed
Overflowing with the story of unnamed
Twilight began to turn blue, waiting for what passed
Tears interrupted, accompanying his longing

If I feel lonely
Come back to my place to wait
Before time demands death

(Ha-ah-oh-oh)
(Ha-ah-oh-oh)
(Ha-ah-oh-oh)
(Ha-ah-oh-oh)

Tell me how to forget you
Like you teach me an adult
Tell me how to give up you
Like you teach me happy

(Ah-ah-oh-oh)
(Ha-ah-oh-oh)

Let me pull over if you are going back
And make sure me that you find what you're looking for
Let me hate the substitute
And convince me that you have found what you're looking for

Tell me how to forget you
Like you teach me an adult
Tell me how to give up you
Like you teach me happy

Tell me how to forget you
Like you teach me an adult
Tell me how to give up you
Like you teach me to su then perfect"
17,3TFdXrYIubXABQh0CxIiSs,Asmalibrasi,Soegi Bornean,"Asmara telah terkalibrasi frekuensi yang sama
Saatnya 'tuk mengikat janji merangkum indahnya
Laras rasa nihil ragu
Biar, biarlah merayu di ruang biru
Bias kita jadi taksu gairah kalbu mendayu
Sabda diramu

Jadikan hanya aku satu-satunya
Sang garwa pambage, sang pelipur lara
Nyanyikan 'ku kidung setia

Jadikan hanya aku satu-satunya
Sang garwa pambage, sang pelipur lara
Nyanyikan 'ku kidung setia

Kini saatnya merangkai binar asmara
Melebur 'tuk satukan ego dalam indahnya

Berdansa dalam bahtera mahligai rasa
Merajut ketulusan jiwa
Mengabdi dalam indahnya kalbu
Mengukir ruang renjana selamanya

Jadikan hanya aku satu-satunya
Sang garwa pambage, sang pelipur lara
Nyanyikan 'ku kidung setia

Jadikan hanya aku satu-satunya
Sang garwa pambage, sang pelipur lara
Nyanyikan 'ku kidung setia

Berdansa dalam bahtera mahligai rasa
Merajut ketulusan jiwa
Mengabdi dalam indahnya kalbu
Mengukir ruang renjana selamanya

Jadikan hanya aku satu-satunya
Sang garwa pambage, sang pelipur lara
Nyanyikan 'ku kidung setia

Jadikan hanya aku satu-satunya
Sang garwa pambage, sang pelipur lara
Nyanyikan 'ku kidung setia

Asmara telah terkalibrasi
Asmara telah terkalibrasi
Dan jadikan 'ku kidung setia

Asmara telah terkalibrasi
Asmara telah terkalibrasi
Dan jadikan 'ku kidung setia",id,"Asmara has been calibrated the same frequency
It's time to bind the promise to summarize the beauty
Laras The feeling of zero is doubtful
Let, let it seduce in the blue room
Bias we become a row of passion for the heart of the heart to seduce
SABDA is mixed

Make me the only one
The Garwa Pambage, the solace Lara
Sing 'Ku Kidung Faithful

Make me the only one
The Garwa Pambage, the solace Lara
Sing 'Ku Kidung Faithful

Now is the time to compose a romance
Melts' to unite the ego in its beauty

Dancing in the ark of Mahligai Rasa
Knitting the sincerity of the soul
Serving in the beauty of the heart
Carve a Renjana room forever

Make me the only one
The Garwa Pambage, the solace Lara
Sing 'Ku Kidung Faithful

Make me the only one
The Garwa Pambage, the solace Lara
Sing 'Ku Kidung Faithful

Dancing in the ark of Mahligai Rasa
Knitting the sincerity of the soul
Serving in the beauty of the heart
Carve a Renjana room forever

Make me the only one
The Garwa Pambage, the solace Lara
Sing 'Ku Kidung Faithful

Make me the only one
The Garwa Pambage, the solace Lara
Sing 'Ku Kidung Faithful

Asmara has been calibrated
Asmara has been calibrated
And make 'I go fun loyal

Asmara has been calibrated
Asmara has been calibrated
And make 'I go fun loyal"
18,1USA6DXJ1qsucoKnDu4vnu,Tak Kan Hilang,Budi Doremi,"Jangan pergi dari diriku
Tak sanggup harus hidup tanpamu
Kar′na jauh lebih indah
Bila kita bersama
Seperti yang terjadi kemarin

Kini harus aku lewati
Langkah demi langkah yang menyepi
Membalut luka lagi
Yang kutahan hingga kini
Habis sudah nafasku
Menyebutmu namamu, ho-oh

Takkan hilang cintaku padamu
Takkan hilang walau kau memilih pergi
Takkan hilang
Sampai di ujung waktuku
Mencintamu

Tak terganti
Takkan hilang cintaku padamu
Padamu, wo-oh-oh-oh-ho, ho-oh

Takkan hilang cintaku padamu
Takkan hilang walau kau memilih pergi
Takkan hilang
Sampai di ujung waktuku
Takkan hilang

Takkan hilang
Sampai di ujung waktuku

Takkan hilang cintaku padamu
Takkan hilang walau kau memilih pergi
Takkan hilang
Sampai di ujung waktuku
Mencintamu, wo-oh-oh-ho

Ku masih mencintaimu",id,"Don't leave myself
Unable to have to live without you
Kar′na is much more beautiful
When we are together
As happened yesterday

Now I have to pass
Step by step
Wrap the wound again
Which I endured until now
After my breath
Call you your name, Ho-oh

Won't lose my love for you
Won't disappear even if you choose to leave
Won't disappear
At the end of my time
Love you

Irreplaceable
Won't lose my love for you
To you, Wo-Oh-Oh-Oh-ho, Ho-Oh

Won't lose my love for you
Won't disappear even if you choose to leave
Won't disappear
At the end of my time
Won't disappear

Won't disappear
At the end of my time

Won't lose my love for you
Won't disappear even if you choose to leave
Won't disappear
At the end of my time
Love you, wo-oh-oh-ho

I still love you"
19,5MIpcd16T59wFeqAChSYwC,Duka,Last Child,"Kau membunuhku dengan kepedihan ini
Kau hempaskanku ke dalam retaknya hati
Hingga air mata tak mampu ′tuk melukiskan perih
Yang kau ukir dalam hati ini

Kau hancurkan diriku saat engkau pergi
Setelah kau patahkan sayap ini
Hingga ku takkan bisa 'tuk terbang tinggi lagi
Dan mencari bintang yang dapat menggantikanmu

Sampai kini masih kucoba
′Tuk terjaga dari mimpiku
Yang buatku tak sadar bahwa kau bukan lagi milikku
Walau hati tak akan pernah
Dapat melupakan dirimu
Dan tiap tetes air mata yang jatuh, kuatkan rinduku

Pada indah bayangmu, canda tawamu
Pada indahnya duka dalam kenangan kita

Kau hancurkan diriku saat engkau pergi
Setelah kau patahkan sayap ini
Hingga ku takkan bisa 'tuk terbang tinggi lagi
Dan mencari bintang yang dapat menggantikanmu

Sampai kini masih kucoba (masih kucoba)
'Tuk terjaga dari mimpiku
Yang buatku tak sadar bahwa kau bukan lagi milikku
Walau hati tak akan pernah (tak akan pernah)
Dapat melupakan dirimu
Dan tiap tetes air mata yang jatuh, kuatkan rinduku

Pada indah bayangmu, canda tawamu
Pada indahnya duka dalam kenangan kita

Sampai kini masih kucoba (masih kucoba)
′Tuk terjaga dari mimpiku
Yang buatku tak sadar bahwa kau bukan lagi milikku
Walau hati tak akan pernah (tak akan pernah)
Dapat melupakan dirimu
Dan tiap tetes air mata yang jatuh, kuatkan rinduku

Pada indah bayangmu, canda tawamu
Pada indahnya duka dalam kenangan kita",id,"You killed me with this pain
You throw me into the heartbacket
Until tears can not be able to paint sore
What you carved in this heart

You destroy me when you leave
After you break these wings
Until I won't be able to 'fly high again
And looking for stars who can replace you

I still tried it until now
′ To be awake from my dream
What makes me unaware that you are no longer mine
Even though the heart will never
Can forget yourself
And each drop of tears that fall, strengthen my longing

In your beautiful shadow, joke your laughter
In the beauty of grief in our memories

You destroy me when you leave
After you break these wings
Until I won't be able to 'fly high again
And looking for stars who can replace you

Until now I still try (I still try)
'To awake from my dream
What makes me unaware that you are no longer mine
Even though the heart will never (never)
Can forget yourself
And each drop of tears that fall, strengthen my longing

In your beautiful shadow, joke your laughter
In the beauty of grief in our memories

Until now I still try (I still try)
′ To be awake from my dream
What makes me unaware that you are no longer mine
Even though the heart will never (never)
Can forget yourself
And each drop of tears that fall, strengthen my longing

In your beautiful shadow, joke your laughter
In the beauty of grief in our memories"
20,1mruWrUwAVe2XkksUQiaHK,Selamat (Selamat Tinggal),Virgoun,"Di tempat ini
Di tempat pertama aku menemukanmu
Kembali kudatangi tempat ini
Tapi ku dengan yang lain

Samar kudengar
Suara yang s′lalu kukenal itu suaramu
Kau terlihat bahagia bersamanya
Dia kekasihmu yang baru

Aku pun terdiam
Saat gadis kecil berlari ke arahmu
Gadis kecil yang miliki mata indah
Persis seperti matamu

(Dan kau tersenyum) Aku pun tersenyum
Dan kugenggam tangan wanita di sampingku
(Dan kau genggam tangannya dan kau genggam tangannya)
Dan berkata lirih di dalam hati (lirih hati)
Tentang semua ini

Andai dulu kau tak pergi dari hidupku
Takkan mungkin kutemui cinta yang kini kumiliki
Cinta yang menerima kekurangan
Dan merubah caraku memandang dunia

Andai dulu kupaksakan t'rus bersamamu
Belum tentu kisah kita berdua berakhir bahagia
Kisah yang mendewasakan kita berdua
Meski lewat luka

Satu hal yang kini aku mengerti
Meski berat bibir ini mengucap
Akan s′lalu ada kata selamat
Dalam setiap kata selamat tinggal

Andai dulu kau tak pergi dari hidupku (dari hidupmu)
Takkan mungkin kutemui cinta yang kini kumiliki (kumiliki)
Cinta yang menerima kekurangan (dan merubah caraku)
Dan merubah caraku memandang dunia (memandang dunia)

Andai dulu kupaksakan terus bersamamu (untuk terus bersamamu)
Belum tentu kisah kita berdua berakhir bahagia
Kisah yang mendewasakan kita berdua
Meski lewat luka (meski lewat luka)
Meski lewat luka

Satu hal yang kini aku mengerti
Meski berat bibir ini mengucap
Akan s'lalu ada kata selamat
Dalam setiap kata selamat tinggal

Selamat tinggal (selamat tinggal)
Samar kudengar
Di tempat ini
Suara yang selalu kukenal, itu suaramu
(Di tempat pertama aku menemukanmu)",id,"In this place
In the first place I found you
I visited this place again
But I am with the others

I faintly heard
The sound I always know is your voice
You look happy with him
He's your new lover

I was silent
When a little girl runs towards you
Little girl who has beautiful eyes
Just like your eyes

(And you smile) I smiled
And I held a woman's hand beside me
(And you hold his hand and you hold his hand)
And say softly in the heart (soft heart)
About all this

If you didn't leave my life first
I won't be possible to meet the love that I now have
Love that accepts shortcomings
And change the way I look at the world

If I used to force it with you
Not necessarily the story of the two of us ended happily
The story that matures us both
Although through wounds

One thing that I now understand
Although the weight of this lips says
There will be a word congratulations
In every word goodbye

If you didn't go away from my life (from your life)
I won't be possible to meet the love that I now have (I have)
Love that receives deficiencies (and changes my way)
And change the way I look at the world (looking at the world)

If I used to force it with you (to continue with you)
Not necessarily the story of the two of us ended happily
The story that matures us both
Although through wounds (even though through wounds)
Although through wounds

One thing that I now understand
Although the weight of this lips says
Will always be a word
In every word goodbye

Goodbye (Goodbye)
I faintly heard
In this place
The voice that I always know, that's your voice
(In the first place I found you)"
21,2dIBMHByUGcNPzmYBJ6OAj,Evaluasi,Hindia,"Yang tak bisa terobati
Biarlah
Mengering sendiri
Menghias tubuh dan

Yang mengevaluasi
Ragamu
Hanya kau sendiri
Mereka tak mampu

Melewat yang telah kau lewati
Tiap berganti hari
Rintangan yang kau hadapi

Masalah yang mengeruh
Perasaan yang rapuh
Ini belum separuhnya
Biasa saja
Kamu tak apa

Yang selalu ingin ambil peran
Hanya berlomba menjadi lebih
Sedih dari dirimu

Muak dikesampingkan
Disamakan
Hatimu terluka, sempurna

Masalah yang mengeruh
Perasaan yang rapuh
Ini belum separuhnya
Biasa saja
Kamu tak apa

Perjalanan yang jauh
Kau bangun untuk bertaruh
Hari belum selesai
Biasa saja
Kamu tak apa

Bilas muka, gosok gigi, evaluasi
Tidur sejenak menemui esok pagi
Walau pedih ′ku bersamamu kali ini
'Ku masih ingin melihatmu esok hari

Bilas muka, gosok gigi, evaluasi
Tidur sejenak menemui esok pagi
Walau pedih ′ku bersamamu kali ini
'Ku masih ingin melihatmu esok hari

Bilas muka, gosok gigi, evaluasi
Tidur sejenak menemui esok pagi
Walau pedih 'ku bersamamu kali ini
′Ku masih ingin melihatmu esok hari",id,"Who can't be treated
Let it be
Dry alone
Decorate the body and

Which evaluates
Your body
Only you alone
They can't

Passing what you have passed
Every day change
Obstacles you face

A problem that is inconvenience
Fragile feeling
This hasn't been half
Just normal
You're fine

Who always want to take a role
Only competing to be more
Sad from you

Panal was ruled out
Equated
Your heart hurts, perfect

A problem that is inconvenience
Fragile feeling
This hasn't been half
Just normal
You're fine

Long journey
You wake up to bet
The day hasn't finished yet
Just normal
You're fine

Rinse your face, brush your teeth, evaluate
Sleep for a moment to meet tomorrow morning
Even though I hurt ′ I am with you this time
'I still want to see you tomorrow

Rinse your face, brush your teeth, evaluate
Sleep for a moment to meet tomorrow morning
Even though I hurt ′ I am with you this time
'I still want to see you tomorrow

Rinse your face, brush your teeth, evaluate
Sleep for a moment to meet tomorrow morning
Even though I hurt me with you this time
′ I still want to see you tomorrow"
